plan_row,plan_key,session,date,created_ct,day_type,day_type_group,bias,regime,scenario_n,atr5m_saved,narrative_price,price_quote,publication_price_proxy,publication_bar_ms
165,2026-08-31:LONDON:v1,LONDON,2026-08-31,2026-08-31T06:50:50.477000-05:00,no-trade,no-trade,neutral,not-recorded,1,16.1035,,,29430.75,1788176940000
166,2026-08-31:LONDON:v2,LONDON,2026-08-31,2026-08-31T07:40:35.635000-05:00,balance,balance,neutral,not-recorded,4,20.3793,,,29405.75,1788179940000
167,2026-08-31:LONDON:v3,LONDON,2026-08-31,2026-08-31T08:33:54.052000-05:00,no-trade,no-trade,neutral,not-recorded,1,22.4515,,,29467.5,1788183120000
168,2026-08-31:NY:v1,NY,2026-08-31,2026-08-31T08:47:19.159000-05:00,no-trade,no-trade,neutral,not-recorded,1,20.3265,,,29416.75,1788183960000
169,2026-08-31:NY:v2,NY,2026-08-31,2026-08-31T09:33:18.205000-05:00,no-trade,no-trade,neutral,not-recorded,1,39.4161,,,29377.25,1788186720000
170,2026-08-31:NY:v3,NY,2026-08-31,2026-08-31T09:52:26.136000-05:00,trend-down,trend,short,not-recorded,3,39.8444,,,29401.5,1788187860000
171,2026-08-31:NY:v4,NY,2026-08-31,2026-08-31T11:58:55.105000-05:00,balance,balance,long,not-recorded,3,30.4896,,,29441.25,1788195420000
172,2026-08-31:NY:v5,NY,2026-08-31,2026-08-31T12:30:09.506000-05:00,balance,balance,long,not-recorded,4,26.0421,29419.75,price 29419.75,29396.75,1788197340000
173,2026-08-31:NY:v6,NY,2026-08-31,2026-08-31T12:53:49.126000-05:00,balance,balance,long,not-recorded,4,23.5448,,,29450.75,1788198720000
174,2026-08-31:NY:v7,NY,2026-08-31,2026-08-31T14:34:06.907000-05:00,balance,balance,long,not-recorded,3,20.5328,29425.5,Price 29425.50,29437.0,1788204780000
175,2026-08-31:ASIA:v1,ASIA,2026-08-31,2026-08-31T17:18:32.424000-05:00,no-trade,no-trade,neutral,not-recorded,1,15.896,,,29501.75,1788214620000
176,2026-08-31:ASIA:v2,ASIA,2026-08-31,2026-09-01T01:01:09.185000-05:00,no-trade,no-trade,neutral,not-recorded,1,17.0907,,,29566.0,1788242400000
177,2026-09-01:LONDON:v1,LONDON,2026-09-01,2026-09-01T01:49:31.611000-05:00,no-trade,no-trade,neutral,not-recorded,1,18.7016,,,29529.0,1788245280000
178,2026-09-01:LONDON:v2,LONDON,2026-09-01,2026-09-01T02:48:27.147000-05:00,balance,balance,short,not-recorded,3,22.4226,29463.0,price 29463,29464.5,1788248820000
179,2026-09-01:LONDON:v3,LONDON,2026-09-01,2026-09-01T04:52:43.589000-05:00,trend,trend,short,not-recorded,2,25.947,,,29221.75,1788256260000
180,2026-09-01:LONDON:v4,LONDON,2026-09-01,2026-09-01T05:34:30.471000-05:00,trend-down,trend,short,not-recorded,3,22.7037,,,29247.75,1788258780000
181,2026-09-01:LONDON:v5,LONDON,2026-09-01,2026-09-01T07:07:32.457000-05:00,trend-down,trend,neutral,not-recorded,3,19.4161,29208.5,Price 29208.50,29157.75,1788264360000
182,2026-09-01:LONDON:v6,LONDON,2026-09-01,2026-09-01T07:56:33.428000-05:00,trend,trend,short,not-recorded,2,21.4579,29127.25,Price 29127.25,29131.5,1788267300000
183,2026-09-01:NY:v1,NY,2026-09-01,2026-09-01T08:06:46.843000-05:00,trend-down,trend,short,not-recorded,4,20.1915,,,29102.25,1788267900000
184,2026-09-01:NY:v2,NY,2026-09-01,2026-09-01T08:53:16.675000-05:00,trend-down,trend,short,not-recorded,4,29.5604,,,29120.0,1788270720000
185,2026-09-01:NY:v3,NY,2026-09-01,2026-09-01T09:20:44.334000-05:00,trend-down,trend,short,not-recorded,2,38.6592,,,29145.75,1788272340000
186,2026-09-01:NY:v4,NY,2026-09-01,2026-09-01T10:24:39.842000-05:00,trend,trend,short,not-recorded,3,32.9537,,,29210.75,1788276180000
187,2026-09-01:NY:v5,NY,2026-09-01,2026-09-01T13:00:02.422000-05:00,trend,trend,short,not-recorded,3,26.9466,,,29140.25,1788285540000
188,2026-09-01:ASIA:v1,ASIA,2026-09-01,2026-09-01T17:23:14.552000-05:00,no-trade,no-trade,neutral,not-recorded,1,21.6249,,,29106.25,1788301320000
189,2026-09-01:ASIA:v2,ASIA,2026-09-01,2026-09-01T18:00:41.426000-05:00,no-trade,no-trade,neutral,not-recorded,1,18.0573,,,29131.25,1788303540000
190,2026-09-01:ASIA:v3,ASIA,2026-09-01,2026-09-01T21:14:52.024000-05:00,no-trade,no-trade,neutral,not-recorded,1,21.3301,,,29066.5,1788315180000
191,2026-09-01:ASIA:v4,ASIA,2026-09-01,2026-09-01T21:53:46.232000-05:00,no-trade,no-trade,neutral,not-recorded,1,20.0322,,,29084.75,1788317520000
192,2026-09-01:ASIA:v5,ASIA,2026-09-01,2026-09-01T23:12:44.863000-05:00,balance,balance,long,not-recorded,2,15.2778,,,29038.5,1788322260000
193,2026-09-01:ASIA:v6,ASIA,2026-09-01,2026-09-01T23:20:29.111000-05:00,balance,balance,long,not-recorded,3,15.2375,,,29060.5,1788322740000
194,2026-09-01:ASIA:v7,ASIA,2026-09-01,2026-09-01T23:58:16.814000-05:00,trend,trend,long,not-recorded,3,14.6328,29053.5,Price 29053.50,29056.75,1788325020000
195,2026-09-01:ASIA:v8,ASIA,2026-09-01,2026-09-02T00:19:46.268000-05:00,balance,balance,long,not-recorded,3,15.0918,,,29083.25,1788326280000
196,2026-09-01:ASIA:v9,ASIA,2026-09-01,2026-09-02T00:47:12.316000-05:00,balance,balance,long,not-recorded,2,16.2235,29099.0,Price 29099,29096.0,1788327960000
197,2026-09-02:LONDON:v1,LONDON,2026-09-02,2026-09-02T01:37:44.942000-05:00,no-trade,no-trade,neutral,not-recorded,1,18.706,,,29035.75,1788330960000
198,2026-09-01:ASIA:v10,ASIA,2026-09-01,2026-09-02T01:51:21.943000-05:00,balance,balance,long,not-recorded,2,21.3579,29065.0,Price 29065,29061.0,1788331800000
199,2026-09-02:LONDON:v2,LONDON,2026-09-02,2026-09-02T07:15:26.915000-05:00,balance,balance,long,not-recorded,3,26.5799,29105.5,Price 29105.50,29123.75,1788351240000
200,2026-09-02:LONDON:v3,LONDON,2026-09-02,2026-09-02T07:21:59.485000-05:00,balance,balance,long,not-recorded,5,27.5906,,,29137.75,1788351600000
201,2026-09-02:LONDON:v4,LONDON,2026-09-02,2026-09-02T07:44:03.782000-05:00,balance,balance,long,not-recorded,5,29.7791,,,29071.25,1788352980000
202,2026-09-02:LONDON:v5,LONDON,2026-09-02,2026-09-02T08:01:50.097000-05:00,balance,balance,long,not-recorded,3,26.4085,29058.25,Price 29058.25,29047.0,1788354000000
203,2026-09-02:NY:v1,NY,2026-09-02,2026-09-02T08:09:44.227000-05:00,balance,balance,neutral,not-recorded,4,25.642,,,29066.75,1788354480000
204,2026-09-02:LONDON:v6,LONDON,2026-09-02,2026-09-02T08:20:47.995000-05:00,balance,balance,long,not-recorded,4,24.2774,29062.75,Price 29062.75,29075.25,1788355140000
205,2026-09-02:NY:v2,NY,2026-09-02,2026-09-02T08:45:28.139000-05:00,balance,balance,long,not-recorded,3,29.8054,29107.75,Price 29107.75,29090.25,1788356640000
206,2026-09-02:NY:v3,NY,2026-09-02,2026-09-02T09:21:18.759000-05:00,balance,balance,long,not-recorded,4,35.8243,,,29149.75,1788358800000
207,2026-09-02:NY:v4,NY,2026-09-02,2026-09-02T09:45:52.139000-05:00,balance,balance,long,not-recorded,2,36.2679,29182.0,Price 29182,29201.5,1788360240000
208,2026-09-02:NY:v5,NY,2026-09-02,2026-09-02T10:22:33.001000-05:00,balance,balance,long,not-recorded,4,36.1991,29142.25,Price 29142.25,29175.25,1788362460000
209,2026-09-02:NY:v6,NY,2026-09-02,2026-09-02T10:50:53.844000-05:00,trend,trend,long,not-recorded,4,32.1954,,,29143.0,1788364140000
210,2026-09-02:NY:v7,NY,2026-09-02,2026-09-02T11:20:19.936000-05:00,balance,balance,long,not-recorded,4,28.5087,29186.25,price 29186.25,29170.25,1788365940000
211,2026-09-02:NY:v8,NY,2026-09-02,2026-09-02T11:47:10.850000-05:00,balance,balance,long,not-recorded,2,26.011,29138.5,Price 29138.50,29147.25,1788367560000
212,2026-09-02:NY:v9,NY,2026-09-02,2026-09-02T12:25:10.337000-05:00,balance,balance,long,not-recorded,3,26.8409,29146.5,Price 29146.5,29146.0,1788369840000
213,2026-09-02:NY:v10,NY,2026-09-02,2026-09-02T13:02:15.540000-05:00,balance,balance,long,not-recorded,4,25.0676,29169.75,price 29169.75,29137.0,1788372060000
214,2026-09-02:NY:v11,NY,2026-09-02,2026-09-02T13:28:36.708000-05:00,balance,balance,long,not-recorded,4,22.7237,29151.75,Price 29151.75,29157.0,1788373620000
215,2026-09-02:NY:v12,NY,2026-09-02,2026-09-02T13:56:59.111000-05:00,balance,balance,long,not-recorded,3,22.9202,,,29143.75,1788375300000
216,2026-09-02:ASIA:v1,ASIA,2026-09-02,2026-09-02T16:36:02.903000-05:00,balance,balance,long,not-recorded,4,18.7279,29143.0,Price 29143,,
217,2026-09-02:ASIA:v2,ASIA,2026-09-02,2026-09-02T17:18:29.638000-05:00,balance,balance,long,not-recorded,2,19.1399,,,29187.75,1788387420000
218,2026-09-02:ASIA:v3,ASIA,2026-09-02,2026-09-02T17:50:56.643000-05:00,balance,balance,neutral,not-recorded,3,16.1018,,,29182.25,1788389340000
219,2026-09-02:ASIA:v4,ASIA,2026-09-02,2026-09-02T18:04:42.447000-05:00,balance,balance,neutral,not-recorded,3,16.379,,,29183.0,1788390180000
220,2026-09-02:ASIA:v5,ASIA,2026-09-02,2026-09-02T18:21:05.610000-05:00,balance,balance,neutral,not-recorded,4,14.631,,,29172.25,1788391200000
221,2026-09-02:ASIA:v6,ASIA,2026-09-02,2026-09-02T18:43:33.086000-05:00,balance,balance,short,not-recorded,3,13.3823,29179.0,price 29179,29185.25,1788392520000
222,2026-09-02:ASIA:v7,ASIA,2026-09-02,2026-09-02T19:02:39.227000-05:00,balance,balance,short,not-recorded,2,13.3707,,,29192.5,1788393660000
223,2026-08-31:WEEKLY:v1,WEEKLY,2026-08-31,2026-09-02T19:06:24.297000-05:00,weekly,weekly,neutral,not-recorded,0,,,,29190.25,1788393900000
224,2026-09-02:ASIA:v8,ASIA,2026-09-02,2026-09-02T20:05:55.400000-05:00,balance,balance,short,not-recorded,3,13.8977,29156.25,price 29156.25,29172.5,1788397440000
225,2026-09-02:ASIA:v9,ASIA,2026-09-02,2026-09-02T20:38:20.096000-05:00,balance,balance,short,not-recorded,2,17.8932,29187.0,price 29187.00,29179.75,1788399420000
226,2026-09-02:ASIA:v10,ASIA,2026-09-02,2026-09-02T21:03:03.446000-05:00,balance,balance,short,not-recorded,3,18.0889,29178.0,price 29178,29145.75,1788400920000
227,2026-09-02:ASIA:v11,ASIA,2026-09-02,2026-09-02T21:31:58.603000-05:00,balance,balance,short,not-recorded,4,18.9611,29190.5,price 29190.50,29191.5,1788402600000
228,2026-09-02:ASIA:v12,ASIA,2026-09-02,2026-09-02T21:49:57.931000-05:00,balance,balance,short,not-recorded,3,19.2058,,,29176.75,1788403680000
229,2026-09-02:ASIA:v13,ASIA,2026-09-02,2026-09-02T22:12:42.599000-05:00,balance,balance,short,not-recorded,3,17.5929,,,29197.75,1788405060000
230,2026-09-02:ASIA:v14,ASIA,2026-09-02,2026-09-03T00:08:45.841000-05:00,balance,balance,neutral,neutral,4,13.48,,,29169.0,1788412020000
231,2026-09-02:ASIA:v15,ASIA,2026-09-02,2026-09-03T00:34:14.308000-05:00,trend-down,trend,short,neutral,2,21.1802,29103.0,Price 29103,29121.5,1788413580000
232,2026-09-03:LONDON:v1,LONDON,2026-09-03,2026-09-03T01:34:53.723000-05:00,balance,balance,short,neutral,2,22.1021,29177.75,Price 29177.75,29172.0,1788417180000
233,2026-09-03:NY:v1,NY,2026-09-03,2026-09-03T08:05:19.635000-05:00,balance,balance,short,up,3,29.0154,,,29214.0,1788440640000
234,2026-09-03:LONDON:v2,LONDON,2026-09-03,2026-09-03T08:15:44.050000-05:00,balance,balance,neutral,up,3,28.9148,,,29239.25,1788441240000
235,2026-09-03:NY:v2,NY,2026-09-03,2026-09-03T08:45:05.993000-05:00,balance,balance,short,up,3,36.4079,,,29345.25,1788443040000
236,2026-09-03:NY:v3,NY,2026-09-03,2026-09-03T09:15:31.491000-05:00,trend,trend,long,up,4,45.0976,,,29301.5,1788444840000
237,2026-09-03:NY:v4,NY,2026-09-03,2026-09-03T09:44:33.127000-05:00,trend,trend,long,up,3,47.2037,29296.0,Price 29296,29290.0,1788446580000
238,2026-09-03:NY:v5,NY,2026-09-03,2026-09-03T10:14:45.993000-05:00,trend,trend,long,up,2,48.405,,,29461.0,1788448380000
239,2026-09-03:NY:v6,NY,2026-09-03,2026-09-03T10:49:57.593000-05:00,trend,trend,long,up,3,40.5881,29506.0,price 29506,29513.75,1788450480000
240,2026-09-03:NY:v7,NY,2026-09-03,2026-09-03T11:27:53.707000-05:00,trend,trend,long,up,3,32.4611,,,29491.5,1788452760000
241,2026-09-03:ASIA:v1,ASIA,2026-09-03,2026-09-03T16:37:36.171000-05:00,trend,trend,long,up,4,12.7427,,,,
242,2026-09-03:ASIA:v2,ASIA,2026-09-03,2026-09-03T18:47:53.178000-05:00,balance,balance,neutral,up,3,9.0637,,,29515.5,1788479160000
243,2026-09-03:ASIA:v3,ASIA,2026-09-03,2026-09-03T19:28:36.380000-05:00,balance,balance,long,up,3,11.2366,,,29523.25,1788481620000
244,2026-09-03:ASIA:v4,ASIA,2026-09-03,2026-09-03T19:53:35.711000-05:00,balance,balance,short,up,2,10.3932,,,29541.5,1788483120000
245,2026-09-03:ASIA:v5,ASIA,2026-09-03,2026-09-03T20:32:32.918000-05:00,balance,balance,short,up,3,11.1299,,,29543.25,1788485460000
246,2026-09-03:ASIA:v6,ASIA,2026-09-03,2026-09-04T00:40:13.822000-05:00,trend,trend,long,up,4,12.1493,,,29618.0,1788500340000
247,2026-09-03:ASIA:v7,ASIA,2026-09-03,2026-09-04T01:20:35.660000-05:00,trend,trend,long,up,3,12.9192,,,29630.25,1788502740000
248,2026-09-04:LONDON:v1,LONDON,2026-09-04,2026-09-04T01:41:15.950000-05:00,trend,trend,long,up,4,13.3183,,,29602.75,1788504000000
249,2026-09-04:LONDON:v2,LONDON,2026-09-04,2026-09-04T02:04:14.613000-05:00,trend,trend,short,up,2,14.0588,29576.0,Price 29576,29583.0,1788505380000
250,2026-09-04:LONDON:v3,LONDON,2026-09-04,2026-09-04T07:56:17.729000-05:00,balance,balance,short,up,3,31.473,,,29534.75,1788526500000
251,2026-09-04:NY:v1,NY,2026-09-04,2026-09-04T08:11:45.620000-05:00,no-trade,no-trade,neutral,up,1,34.2146,,,29529.25,1788527400000
252,2026-09-04:NY:v2,NY,2026-09-04,2026-09-04T08:44:46.688000-05:00,balance,balance,long,up,2,32.5889,,,29642.75,1788529380000
253,2026-09-04:NY:v3,NY,2026-09-04,2026-09-04T08:55:11.782000-05:00,balance,balance,short,up,2,35.7426,,,29659.75,1788530040000
254,2026-09-04:NY:v4,NY,2026-09-04,2026-09-04T11:03:30.521000-05:00,balance,balance,short,up,3,31.3448,,,29513.25,1788537720000
255,2026-09-04:NY:v5,NY,2026-09-04,2026-09-04T11:28:50.086000-05:00,balance,balance,short,up,2,27.0631,,,29559.75,1788539220000
256,2026-09-04:NY:v6,NY,2026-09-04,2026-09-04T12:10:35.724000-05:00,balance,balance,short,up,3,23.2888,29569.75,Price 29569.75,29539.5,1788541740000
257,2026-09-07:WEEKLY:v1,WEEKLY,2026-09-07,2026-09-06T16:30:50.370000-05:00,weekly,weekly,,not-recorded,0,,,,,
258,2026-09-06:ASIA:v1,ASIA,2026-09-06,2026-09-06T16:39:24.179000-05:00,balance,balance,long,up,3,13.9505,,,,
259,2026-09-06:ASIA:v2,ASIA,2026-09-06,2026-09-06T17:51:06.077000-05:00,balance,balance,long,up,3,11.495,29580.75,price 29580.75,29582.75,1788735000000
260,2026-09-06:ASIA:v3,ASIA,2026-09-06,2026-09-06T20:05:28.148000-05:00,balance,balance,long,up,2,16.6781,29543.0,Price 29543,29568.25,1788743040000
261,2026-09-06:ASIA:v4,ASIA,2026-09-06,2026-09-06T23:17:15.188000-05:00,trend,trend,long,up,2,15.0079,,,29582.25,1788754560000
262,2026-09-06:ASIA:v5,ASIA,2026-09-06,2026-09-06T23:29:57.794000-05:00,balance,balance,long,up,3,14.6541,29584.25,Price 29584.25,29583.75,1788755280000
263,2026-09-06:ASIA:v6,ASIA,2026-09-06,2026-09-07T00:07:18.515000-05:00,balance,balance,neutral,up,4,12.2404,,,29598.5,1788757560000
264,2026-09-07:ASIA:v1,ASIA,2026-09-07,2026-09-07T20:47:57.716000-05:00,balance,balance,short,up,3,19.423,29678.0,Price 29678.00,29672.0,1788831960000
265,2026-09-07:ASIA:v2,ASIA,2026-09-07,2026-09-07T22:03:44.933000-05:00,trend,trend,long,up,4,16.1603,,,29665.25,1788836520000
266,2026-09-07:ASIA:v3,ASIA,2026-09-07,2026-09-07T22:16:50.382000-05:00,balance,balance,short,up,3,15.8017,29665.75,Price 29665.75,29689.0,1788837300000
267,2026-09-07:ASIA:v4,ASIA,2026-09-07,2026-09-07T23:40:33.408000-05:00,balance,balance,short,up,2,15.1263,,,29758.0,1788842340000
268,2026-09-07:ASIA:v5,ASIA,2026-09-07,2026-09-08T00:17:45.586000-05:00,balance,balance,short,up,4,17.191,29700.0,price 29700,29698.25,1788844560000
269,2026-09-08:LONDON:v1,LONDON,2026-09-08,2026-09-08T01:43:11.608000-05:00,balance,balance,long,neutral,3,24.5139,,,29609.75,1788849720000
270,2026-09-08:LONDON:v2,LONDON,2026-09-08,2026-09-08T02:08:48.217000-05:00,balance,balance,neutral,up,4,23.8431,,,29631.25,1788851220000
271,2026-09-08:LONDON:v3,LONDON,2026-09-08,2026-09-08T02:54:12.229000-05:00,balance,balance,long,neutral,2,25.1304,,,29546.25,1788853980000
272,2026-09-08:LONDON:v4,LONDON,2026-09-08,2026-09-08T03:28:17.609000-05:00,balance,balance,short,neutral,3,27.3046,,,29515.5,1788856020000
273,2026-09-08:LONDON:v5,LONDON,2026-09-08,2026-09-08T04:22:45.994000-05:00,balance,balance,long,neutral,3,25.853,,,29534.0,1788859260000
274,2026-09-08:NY:v1,NY,2026-09-08,2026-09-08T08:04:27.541000-05:00,balance,balance,short,up,3,21.4728,29653.75,Price 29653.75,29641.25,1788872580000
275,2026-09-08:NY:v2,NY,2026-09-08,2026-09-08T08:51:08.055000-05:00,trend,trend,short,neutral,3,33.5555,,,29502.75,1788875400000
276,2026-09-08:NY:v3,NY,2026-09-08,2026-09-08T10:06:58.193000-05:00,balance,balance,neutral,neutral,2,36.744,,,29564.0,1788879900000
277,2026-09-08:NY:v4,NY,2026-09-08,2026-09-08T10:48:22.165000-05:00,trend,trend,long,up,2,32.2844,,,29616.5,1788882420000
278,2026-09-08:NY:v5,NY,2026-09-08,2026-09-08T12:26:03.178000-05:00,balance,balance,long,up,3,28.0296,,,29613.75,1788888300000
279,2026-09-08:ASIA:v1,ASIA,2026-09-08,2026-09-08T16:39:48.077000-05:00,trend,trend,short,neutral,2,18.2185,,,,
280,2026-09-08:ASIA:v2,ASIA,2026-09-08,2026-09-08T17:21:14.857000-05:00,balance,balance,long,neutral,2,16.9708,,,29522.5,1788906000000
281,2026-09-08:ASIA:v3,ASIA,2026-09-08,2026-09-08T18:02:35.877000-05:00,balance,balance,long,neutral,3,14.0706,29533.75,Price 29533.75,29540.5,1788908460000
